1304, 2398, 2343, 3254, 3456, 5577, 4565, 3445, 5467, 3450
3456, 0982, 1934, 0985, 2234, 2138, 9385, 5454, 8645, 8787
4549, 4298, 5444, 1565, 4781, 5412, 2969, 5496, 7415, 8087
5447, 9637, 0125, 0774, 0001, 0252, 2869, 7458, 9699, 3258
5867, 5447, 2312, 3211, 1471, 1515, 5858, 6963, 3575, 3154
1304, 2398, 2343, 3254, 3456, 5577, 4565, 3445, 5467, 3450
3456, 0982, 1934, 0985, 2234, 2138, 9385, 5454, 8645, 8787
4549, 4298, 5444, 1565, 4781, 5412, 2969, 5496, 7415, 8087
5447, 9637, 0125, 0774, 0001, 0252, 2869, 7458, 9699, 3258
5867, 5447, 2312, 3211, 1471, 1515, 5858, 6963, 3575, 3154
